n;Start;End;Duration in ms;Difference
1;1645641086752;1645641086889;137;137
2;1645641086892;1645641087170;278;141
3;1645641087170;1645641087658;488;210
4;1645641087658;1645641088414;756;268
5;1645641088414;1645641089505;1091;335
6;1645641089505;1645641090991;1486;395
7;1645641090991;1645641092950;1959;473
8;1645641092950;1645641095412;2462;503
9;1645641095412;1645641098459;3047;585
10;1645641098459;1645641102139;3680;633
11;1645641102139;1645641106538;4399;719
12;1645641106538;1645641111709;5171;772
13;1645641111709;1645641117715;6006;835
14;1645641117715;1645641124601;6886;880
15;1645641124601;1645641132423;7822;936
16;1645641132423;1645641141271;8848;1026
17;1645641141271;1645641151176;9905;1057
18;1645641151176;1645641162235;11059;1154
19;1645641162235;1645641174476;12241;1182
20;1645641174476;1645641188035;13559;1318
21;1645641188035;1645641202890;14855;1296
22;1645641202890;1645641219153;16263;1408
23;1645641219153;1645641236867;17714;1451
24;1645641236867;1645641256091;19224;1510
25;1645641256091;1645641276947;20856;1632
26;1645641276947;1645641299455;22508;1652
27;1645641299455;1645641323703;24248;1740
28;1645641323703;1645641349814;26111;1863
29;1645641349814;1645641377726;27912;1801
30;1645641377726;1645641407545;29819;1907
31;1645641407545;1645641439394;31849;2030
32;1645641439394;1645641473260;33866;2017
33;1645641473260;1645641509277;36017;2151
34;1645641509277;1645641547413;38136;2119
35;1645641547413;1645641587797;40384;2248
36;1645641587797;1645641630419;42622;2238
37;1645641630419;1645641675420;45001;2379
38;1645641675420;1645641722827;47407;2406
39;1645641722827;1645641772697;49870;2463
40;1645641772697;1645641825109;52412;2542
41;1645641825109;1645641880149;55040;2628
42;1645641880149;1645641937839;57690;2650
43;1645641937839;1645641998266;60427;2737
44;1645641998266;1645642061245;62979;2552
45;1645642061245;1645642127310;66065;3086
46;1645642127310;1645642196231;68921;2856
47;1645642196231;1645642268196;71965;3044
48;1645642268196;1645642343226;75030;3065
49;1645642343226;1645642421357;78131;3101
50;1645642421357;1645642502560;81203;3072
51;1645642502560;1645642587061;84501;3298
52;1645642587061;1645642675040;87979;3478
53;1645642675040;1645642766268;91228;3249
54;1645642766268;1645642861030;94762;3534
55;1645642861030;1645642959502;98472;3710
56;1645642959502;1645643061100;101598;3126
57;1645643061100;1645643166283;105183;3585
58;1645643166283;1645643275242;108959;3776
59;1645643275242;1645643387949;112707;3748
60;1645643387949;1645643504581;116632;3925
;;;;
