n;Task1;Task2;Task3
1;4;3;2
2;4;6;8
3;4;9;18
4;4;12;32
5;4;15;50
6;4;18;72
7;4;21;98
8;4;24;128
9;4;27;162
10;4;30;200
11;4;33;242
12;4;36;288
13;4;39;338
14;4;42;392
15;4;45;450
16;4;48;512
17;4;51;578
18;4;54;648
19;4;57;722
20;4;60;800
21;4;63;882
22;4;66;968
23;4;69;1058
24;4;72;1152
25;4;75;1250
26;4;78;1352
27;4;81;1458
28;4;84;1568
29;4;87;1682
30;4;90;1800
31;4;93;1922
32;4;96;2048
33;4;99;2178
34;4;102;2312
35;4;105;2450
36;4;108;2592
37;4;111;2738
38;4;114;2888
39;4;117;3042
40;4;120;3200
41;4;123;3362
42;4;126;3528
43;4;129;3698
44;4;132;3872
45;4;135;4050
46;4;138;4232
47;4;141;4418
48;4;144;4608
49;4;147;4802
50;4;150;5000
51;4;153;5202
52;4;156;5408
53;4;159;5618
54;4;162;5832
55;4;165;6050
56;4;168;6272
57;4;171;6498
58;4;174;6728
59;4;177;6962
60;4;180;7200
61;4;183;7442
62;4;186;7688
63;4;189;7938
64;4;192;8192
65;4;195;8450
66;4;198;8712
67;4;201;8978
68;4;204;9248
69;4;207;9522
70;4;210;9800
71;4;213;10082
72;4;216;10368
73;4;219;10658
74;4;222;10952
75;4;225;11250
76;4;228;11552
77;4;231;11858
78;4;234;12168
79;4;237;12482
80;4;240;12800
81;4;243;13122
82;4;246;13448
83;4;249;13778
84;4;252;14112
85;4;255;14450
86;4;258;14792
87;4;261;15138
88;4;264;15488
89;4;267;15842
90;4;270;16200
91;4;273;16562
92;4;276;16928
93;4;279;17298
94;4;282;17672
95;4;285;18050
96;4;288;18432
97;4;291;18818
98;4;294;19208
99;4;297;19602
100;4;300;20000
101;4;303;20402
102;4;306;20808
103;4;309;21218
104;4;312;21632
105;4;315;22050
106;4;318;22472
107;4;321;22898
108;4;324;23328
109;4;327;23762
110;4;330;24200
111;4;333;24642
112;4;336;25088
113;4;339;25538
114;4;342;25992
115;4;345;26450
116;4;348;26912
117;4;351;27378
118;4;354;27848
119;4;357;28322
120;4;360;28800
121;4;363;29282
122;4;366;29768
123;4;369;30258
124;4;372;30752
125;4;375;31250
126;4;378;31752
127;4;381;32258
128;4;384;32768
129;4;387;33282
130;4;390;33800
131;4;393;34322
132;4;396;34848
133;4;399;35378
134;4;402;35912
135;4;405;36450
136;4;408;36992
137;4;411;37538
138;4;414;38088
139;4;417;38642
140;4;420;39200
141;4;423;39762
142;4;426;40328
143;4;429;40898
144;4;432;41472
145;4;435;42050
146;4;438;42632
147;4;441;43218
148;4;444;43808
149;4;447;44402
150;4;450;45000
151;4;453;45602
152;4;456;46208
153;4;459;46818
154;4;462;47432
155;4;465;48050
156;4;468;48672
157;4;471;49298
158;4;474;49928
159;4;477;50562
160;4;480;51200
161;4;483;51842
162;4;486;52488
